timestamp	idea_id	idea_name	archetype	timeframe	param_count	params_json	gross_pf	net_pf	win_rate	total_trades	sharpe	sortino	max_dd	max_dd_duration_days	expectancy_gross	expectancy_net	avg_duration_hours	strategy_pnl_gross	strategy_pnl_net	buy_hold_pnl	total_costs	verdict	reason	regime_pass	data_bars	data_period	cost_pct
2026-02-22T14:42:51.934963	R039	Volatility Breakout with Momentum Confirmation	acceleration_breakout	4H	5	"{""channel_period"":10,""roc_short"":5,""roc_long"":20,""stop_pct"":3.0,""target_pct"":6.0}"	1.08	1.03	0.352	105	0.13	1.93	24934.6	401.0	106.16	38.2	93.0	11146.32	4011.34	43378.31	7134.97	kill	Gross PF 1.08 — positive expectancy but below 1.3 threshold.		6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:42:58.291421	R040	Multi-Stage Trend Pullback	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	43378.31	5835.93	park	Gross PF 1.30 passes threshold but regime coverage failed: Insufficient trade coverage in: sideways. Strategy may only work in specific market conditions.	False	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:43:15.997222	R041	ATR Percentile Expansion Breakout	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.31	1.26	0.306	72	0.84	7.41	36037.54	245.0	486.21	422.45	215.4	35007.39	30416.65	43378.31	4590.74	promote	Gross PF 1.31 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:46:43.567673	R042	Mean Reversion Short (MRS)	mean_reversion_short	4H	7	"{""slow_ma_period"":200,""bb_period"":20,""bb_std"":2.0,""rsi_period"":14,""rsi_threshold"":75,""stop_pct"":4.0,""target_pct"":9.0}"	1.7	1.64	0.4	15	0.41	99.0	11078.62	242.0	1090.72	1021.99	128.3	16360.8	15329.85	43378.31	1030.95	park	Insufficient trades (15). Need 20+ for meaningful screen.		6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:47:32.905360	R043	Breakdown Momentum Short (BMS)	breakdown_momentum	4H	5	"{""channel_period"":30,""roc_short"":5,""roc_long"":15,""stop_pct"":2.0,""target_pct"":6.0}"	1.78	1.66	0.32	25	0.37	99.0	5433.56	226.0	640.93	575.19	57.6	16023.16	14379.76	43378.31	1643.4	park	Gross PF 1.78 passes threshold but regime coverage failed: Insufficient trade coverage in: bull, sideways. Strategy may only work in specific market conditions.	False	6571	2023-02-23 → 2026-02-22	0.1
2026-03-01T14:42:19.038758	R044	Volatility Regime Shift Breakout (VRSB)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.44	2.29	0.426	47	1.35	99.0	11139.29	223.0	1091.62	1023.01	98.1	51306.03	48081.54	44023.99	3224.49	promote	Gross PF 2.44 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:45:16.569971	R045	Momentum Persistence Stacking (MPS)	dual_momentum_consensus	4H	6	"{""channel_period"":20,""roc_fast"":5,""roc_med"":15,""roc_slow"":30,""stop_pct"":2.0,""target_pct"":6.0}"	1.36	1.27	0.346	127	1.15	99.0	22092.37	250.0	330.51	262.97	70.9	41974.8	33397.19	44023.99	8577.61	promote	Gross PF 1.36 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:45:21.804329	R046	Post-Pullback Acceleration Surge (PPAS)	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	44023.99	5835.93	promote	Gross PF 1.30 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:48:29.689890	R047	Volatility Regime Shift Breakout (VRSB)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.44	2.29	0.426	47	1.35	99.0	11139.29	223.0	1091.62	1023.01	98.1	51306.03	48081.54	44023.99	3224.49	promote	Gross PF 2.44 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:51:27.405682	R048	Multi-Leg Momentum Cascade (MLMC)	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.39	1.32	0.212	80	0.79	99.0	15892.1	252.0	444.88	375.36	111.8	35590.05	30028.63	44023.99	5561.41	promote	Gross PF 1.39 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:51:32.232225	R049	Trend Acceleration After Pause (TAAP)	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	44023.99	5835.93	promote	Gross PF 1.30 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:54:40.466663	R050	Asymmetric Volatility Breakout (AVB)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.44	2.29	0.426	47	1.35	99.0	11139.29	223.0	1091.62	1023.01	98.1	51306.03	48081.54	44023.99	3224.49	promote	Gross PF 2.44 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:57:38.058628	R051	Momentum Persistence After Consolidation (MPAC)	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.39	1.32	0.212	80	0.79	99.0	15892.1	252.0	444.88	375.36	111.8	35590.05	30028.63	44023.99	5561.41	promote	Gross PF 1.39 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:57:48.574579	R052	High-Volatility Regime Momentum Surge (HVRMS)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:03.118276	R053	Momentum Persistence After Strong Trend Days	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.39	1.32	0.212	80	0.79	99.0	15892.1	252.0	444.88	375.36	111.8	35590.05	30028.63	44023.99	5561.41	promote	Gross PF 1.39 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:13.670182	R054	Volatility Expansion Continuation	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:32.529875	R055	Multi-Timeframe Trend Alignment Breakout	mtf_breakout	4H	4	"{""channel_period"":20,""trend_ma_period"":90,""stop_pct"":2.0,""target_pct"":6.0}"	1.48	1.38	0.362	116	1.29	99.0	15668.6	246.0	436.25	367.8	74.6	50605.0	42664.94	44023.99	7940.06	promote	Gross PF 1.48 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:47.965203	R056	Volatility Spike Trend Continuation (VSTC)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:59.720959	R057	Multi-Timeframe Volume Surge Breakout (MTVSB)	volume_breakout	4H	5	"{""channel_period"":15,""vol_period"":20,""vol_mult"":1.5,""stop_pct"":2.0,""target_pct"":6.0}"	1.31	1.22	0.331	130	0.96	99.0	20077.28	205.0	283.14	216.73	66.6	36808.49	28174.8	44023.99	8633.68	promote	Gross PF 1.31 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:59:08.491354	R058	Trend Resumption After Shallow Pullback (TRASP)	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	44023.99	5835.93	promote	Gross PF 1.30 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:59:17.287112	R059	Post-Breakout Momentum Continuation (PBMC)	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	44023.99	5835.93	promote	Gross PF 1.30 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:59:31.888055	R060	Volatility Regime Transition Breakout (VRTB)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:59:45.158812	R061	Multi-Timeframe Momentum Alignment (MTMA)	dual_momentum_consensus	4H	6	"{""channel_period"":20,""roc_fast"":5,""roc_med"":15,""roc_slow"":30,""stop_pct"":2.0,""target_pct"":6.0}"	1.36	1.27	0.346	127	1.15	99.0	22092.37	250.0	330.51	262.97	70.9	41974.8	33397.19	44023.99	8577.61	promote	Gross PF 1.36 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T15:02:48.537315	R062	Volatility Regime Shift Breakout (VRSB)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.44	2.29	0.426	47	1.35	99.0	11139.29	223.0	1091.62	1023.01	98.1	51306.03	48081.54	44023.99	3224.49	promote	Gross PF 2.44 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T15:05:44.711627	R063	Momentum Alignment Breakout (MAB)	dual_momentum_consensus	4H	6	"{""channel_period"":20,""roc_fast"":5,""roc_med"":15,""roc_slow"":30,""stop_pct"":2.0,""target_pct"":6.0}"	1.36	1.27	0.346	127	1.15	99.0	22092.37	250.0	330.51	262.97	70.9	41974.8	33397.19	44023.99	8577.61	promote	Gross PF 1.36 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T15:05:49.945373	R064	Trend Reversion After Exhaustion (TRAE)	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	44023.99	5835.93	promote	Gross PF 1.30 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T15:05:56.085229	R065	Volume-Weighted Breakout Persistence (VWBP)	volume_breakout	4H	5	"{""channel_period"":15,""vol_period"":20,""vol_mult"":1.5,""stop_pct"":2.0,""target_pct"":6.0}"	1.31	1.22	0.331	130	0.96	99.0	20077.28	205.0	283.14	216.73	66.6	36808.49	28174.8	44023.99	8633.68	promote	Gross PF 1.31 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T15:06:01.694765	R066	Post-Consolidation Momentum Cascade (PCMC)	acceleration_breakout	4H	5	"{""channel_period"":10,""roc_short"":5,""roc_long"":20,""stop_pct"":3.0,""target_pct"":6.0}"	1.06	1.01	0.352	105	0.1	99.0	24934.6	406.0	77.83	9.46	92.7	8172.63	992.97	44023.99	7179.66	kill	Gross PF 1.06 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T15:06:13.441418	R067	Multi-Timeframe Volatility Alignment (MTVA)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-04-06T15:15:26.613730	R089	Extended Donchian Breakout with Trend Gate	donchian_breakout	4H	3	"{""channel_period"":20,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	1.36	1.27	0.343	134	1.07	99.0	25156.05	250.0	344.32	273.88	67.9	46138.27	36699.75	41156.63	9438.53	kill	Gross PF 1.36 — positive expectancy but below 1.5 threshold.		6571	2023-04-07 → 2026-04-06	0.1
2026-04-06T15:15:30.256580	R096	Donchian Breakdown Momentum Short (DBMS)	donchian_breakout	4H	3	"{""channel_period"":20,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	1.36	1.27	0.343	134	1.07	99.0	25156.05	250.0	344.32	273.88	67.9	46138.27	36699.75	41156.63	9438.53	kill	Gross PF 1.36 — positive expectancy but below 1.5 threshold.		6571	2023-04-07 → 2026-04-06	0.1
2026-04-06T15:15:41.917671	R097	Slow Death Cross Trend Reversal (SDCTR)	ma_crossover	4H	4	"{""fast_period"":20,""slow_period"":80,""stop_pct"":4.0,""target_pct"":9.0,""long_only"":true}"	1.42	1.37	0.402	82	0.94	99.0	24367.25	244.0	671.79	606.33	171.1	55086.65	49719.47	41156.63	5367.18	kill	Gross PF 1.42 — positive expectancy but below 1.5 threshold.		6571	2023-04-07 → 2026-04-06	0.1
2026-04-06T15:15:52.129654	R110	MA Crossover Long-Bias Trend Rider	ma_crossover	4H	4	"{""fast_period"":20,""slow_period"":80,""stop_pct"":4.0,""target_pct"":9.0,""long_only"":true}"	1.42	1.37	0.402	82	0.94	99.0	24367.25	244.0	671.79	606.33	171.1	55086.65	49719.47	41156.63	5367.18	kill	Gross PF 1.42 — positive expectancy but below 1.5 threshold.		6571	2023-04-07 → 2026-04-06	0.1
2026-04-06T15:15:54.596792	R111	Breakdown Momentum Short (Bear Regime)	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.33	1.25	0.21	81	0.65	99.0	18903.78	252.0	374.46	303.79	106.8	30330.94	24606.66	41156.63	5724.29	kill	Gross PF 1.33 — positive expectancy but below 1.5 threshold.		6571	2023-04-07 → 2026-04-06	0.1
